wow;love;sentimentPreprocessRuntime;angry;sad;message;kerasPreprocessed;flinkClassifyRecievedAt;id;flinkPreprocesEnd;kafkaCreatedTime;sentimentClassifyRuntime;flinkPreprocesRecievedAt;flinkClassifyEnd;sentiment;haha
29;1169;1185131;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:26.539;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.220;2017-12-01T15:50:25.602578;25408339;2017-12-01T14:50:26.219;2017-12-01T14:50:26.565;1.5;136
29;1169;1193966;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:26.565;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.222;2017-12-01T15:50:25.602606;37423337;2017-12-01T14:50:26.220;2017-12-01T14:50:26.603;1.5;136
29;1169;1177110;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:26.603;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.223;2017-12-01T15:50:25.602637;25085729;2017-12-01T14:50:26.222;2017-12-01T14:50:26.628;1.5;136
29;1169;1182272;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:26.628;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.225;2017-12-01T15:50:25.602665;25162174;2017-12-01T14:50:26.223;2017-12-01T14:50:26.654;1.5;136
29;1169;1203903;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:26.654;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.226;2017-12-01T15:50:25.602696;25342038;2017-12-01T14:50:26.225;2017-12-01T14:50:26.679;1.5;136
29;1169;1194625;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:26.679;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.228;2017-12-01T15:50:25.602724;24807702;2017-12-01T14:50:26.226;2017-12-01T14:50:26.705;1.5;136
29;1169;1175282;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:26.705;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.229;2017-12-01T15:50:25.602752;24776717;2017-12-01T14:50:26.228;2017-12-01T14:50:26.730;1.5;136
29;1169;1171105;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:26.730;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.231;2017-12-01T15:50:25.602782;27457350;2017-12-01T14:50:26.229;2017-12-01T14:50:26.757;1.5;136
29;1169;1173447;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:26.758;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.232;2017-12-01T15:50:25.602810;25343501;2017-12-01T14:50:26.231;2017-12-01T14:50:26.783;1.5;136
29;1169;1222933;22;41;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;as number rohingya muslims fleeing bangladesh hits 400,000, bangladeshi authorities ordering people house members muslim minority, locals want sent home. via reuters tv   for story: ;2017-12-01T14:50:26.783;1_instance_2_test_batchsize_1000;2017-12-01T14:50:26.234;2017-12-01T15:50:25.602838;24446265;2017-12-01T14:50:26.232;2017-12-01T14:50:26.808;1.5;136
